Half Reaction,Standard Reduction Potential (V)
Sb2O3 + 6 H+ + 6 e- -> 2 Sb + 3 H2O,0.152
Cu2+ + e- -> Cu+,0.153
BiOCl + 2 H+ + 3 e- -> Bi + Cl- + H2O,0.1583
BiCl4- + 3 e- -> Bi + 4 Cl-,0.16
Fe2O3 + 4 H+ + 2 e- -> 2 FeOH+ + H2O,0.16
UO2(2+) + e- -> UO2+,0.16
Co(OH)3 + e- -> Co(OH)2 + OH-,0.17
SO4(2-) + 4 H+ + 2 e- -> H2SO3 + H2O,0.172
Bi3+ + 2 e- -> Bi+,0.2
At2 + 2 e- -> 2 At-,0.2
[Ru(en)3]3+ + e- -> [Ru(en)3]2+,0.210
SbO+ + 2 H+ + 3 e- -> Sb + 2 H2O,0.212
AgCl + e- -> Ag + Cl-,0.22233
[Ru(H2O)6]3+ + e- -> [Ru(H2O)6]2+,0.23
As2O3 + 6 H+ + 6 e- -> 2 As + 3 H2O,0.234
Ge2+ + 2 e- -> Ge,0.24
Ru3+ + e- -> Ru2+,0.24
PbO2 + H2O + 2 e- -> PbO + 2 OH-,0.247
HAsO2 + 3 H+ + 3 e- -> As + 2 H2O,0.248
Ru3+ + e- -> Ru2+,0.2487
ReO2 + 4 H+ + 4 e- -> Re + 2 H2O,0.2513
IO3- + 3 H2O + 6 e- -> I- + OH-,0.26
Hg2Cl2 + 2 e- -> 2 Hg + 2 Cl-,0.26808
Re3+ + 3 e- -> Re,0.300
Tc3+ + e- -> Tc2+,0.3
Bi3+ + 3 e- -> Bi,0.308
BiO+ + 2 H+ + 3 e- -> Bi + H2O,0.320
UO2(2+) + 4 H+ + 2 e- -> U4+ + 2 H2O,0.327
ClO3- + H2O + 2 e- -> ClO2- + 2 OH-,0.33
2 HCNO + 2 H+ + 2 e- -> (CN)2 + 2 H2O,0.330
VO2+ + 2 H+ + e- -> V3+ + H2O,0.337
MnO4- + 4 H2O + 5 e- -> Mn(OH)2 + 6 OH-,0.34
ReO4- + 8 H+ + 7 e- -> Re + 4 H2O,0.34
Cu2+ + 2 e- -> Cu,0.3419
Ag2O + H2O + 2 e- -> 2 Ag + 2 OH-,0.342
Cu2+ + 2 e- -> Cu(Hg),0.345
AgIO3 + e- -> Ag + IO3-,0.354
[Fe(CN)6]3- + e- -> [Fe(CN)6]4-,0.358
ClO4- + H2O + 2 e- -> ClO3- + 2 OH-,0.36
Ag2SeO3 + 2 e- -> 2 Ag + SeO3(2-),0.3629
Po2+ + 2 e- -> Po,0.368
(CN)2 + 2 H+ + 2 e- -> 2 HCN,0.373
[Ferricinium]+ + e- -> ferrocene,0.400
Tc2+ + 2 e- -> Tc,0.400
O2 + 2 H2O + 4 e- -> 4 OH-,0.401
AgOCN + e- -> Ag + OCN-,0.41
[RhCl6]3- + 3 e- -> Rh + 6 Cl-,0.431
Ag2CrO4 + 2 e- -> 2 Ag + CrO4(2-),0.4470
H2SO3 + 4 H+ + 4 e- -> S + 3 H2O,0.449
Ru2+ + 2 e- -> Ru,0.455
Ag2MoO4 + 2 e- -> 2 Ag + MoO4(2-),0.4573
Ag2C2O4 + 2 e- -> 2 Ag + C2O4(2-),0.4647
Ag2WO4 + 2 e- -> 2 Ag + WO4(2-),0.4660
Ag2CO3 + 2 e- -> 2 Ag + CO3(2-),0.47
TcO4- + 8 H+ + 7 e- -> Tc + 4 H2O,0.472
TeO4- + 8 H+ + 7 e- -> Te + 4 H2O,0.472
IO- + H2O + 2 e- -> I- + 2 OH-,0.485
NiO2 + 2 H2O + 2 e- -> Ni(OH)2 + 2 OH-,0.490
Bi+ + e- -> Bi,0.5
ReO4- + 4 H+ + 3 e- -> ReO2 + 2 H2O,0.510
Hg2(ac)2 + 2 e- -> 2 Hg + 2 (ac)-,0.51163
Cu+ + e- -> Cu,0.521
I2 + 2 e- -> 2 I-,0.5355
I3- + 2 e- -> 3 I-,0.536
AgBrO3 + e- -> Ag + BrO3-,0.546
MnO4- + e- -> MnO4(2-),0.558
H3AsO4 + 2 H+ + 2 e- -> HAsO2 + 2 H2O,0.560
S2O6(2-) + 4 H+ + 2 e- -> 2 H2SO3,0.564
AgNO2 + e- -> Ag + NO2-,0.564
Te4+ + 4 e- -> Te,0.568
Sb2O5 + 6 H+ + 4 e- -> 2 SbO+ + 3 H2O,0.581
RuO4- + e- -> RuO4(2-),0.59
[PdCl4]2- + 2 e- -> Pd + 4 Cl-,0.591
